contract addresses and deployment tx hashes:
mnist_v1_sop9_subsop3 deployed at addr=0x078fba43184534162deb311f1ac29a38891f4acdd8c8c29b7da98c305004ffe8 with tx_hash=0x30544dd7941d24441ad81bd1dc2161a9371b25889756a8e84c8c28a2e9b5e53
mnist_v1_sop9_subsop4 deployed at addr=0x05a087ca0f5d3a5ef105f70525a56fe834c10cf2fe490cefc2da9875c9a6f6b9 with tx_hash=0x3ff6aac165237444de2216b8aa745a047a967eb487d1f2357517c3c4a027f66
mnist_v1_sop9_subsop5 deployed at addr=0x05871f0fb13179786f43e92d6a7e18f5d435e69000ce4dfcaa8ce949cee7efa9 with tx_hash=0x49e27481005a16232efa1ac9832fffc40083009d52e93973315163ded476bea
mnist_v1_sop9_subsop6 deployed at addr=0x042dcd2892ec9041ee322f09c1062024d8597970161b4b4fa9ca1b0b80226bab with tx_hash=0x56d4871eb4fb5753f50a2cf106e232d3889fd02daa913461be2f16d34cdd72
mnist_v1_sop9_subsop7 deployed at addr=0x05ee5c566c5ed2d853e3215df9212fd260b62d9ac4d479668bb9ef194fd380f0 with tx_hash=0x6147a20c63bd4ecd35e47020bfcfa6f0d55528bde7fb2a060deade5f0e6a632
mnist_v1_sop10 deployed at addr=0x05bd7d6c57d40481df65a958ed765d306ed8357330d9476f3351e605cb6cf588 with tx_hash=0x279527bb487b58bd3c9284e1056e0c1805b3aa77395a069539cef121f4c7948
mnist_v1_sop10_subsop0 deployed at addr=0x06860b60dc23f0e217a784db15770cb137c37e971c18fe76a15ecb234c03a76a with tx_hash=0x4051d5de55b33a797a1ba64632204675510b98788c8f77bf4f85499e7ebb53b
mnist_v1_sop10_subsop1 deployed at addr=0x0133b77310c92c617599885b32f334fa09f5c7ce557c3c4b9ca6709a4db11caf with tx_hash=0x32a3ee8b1925f78bd95ce1a23ba455a0f32d55ed6ea35604f68b551f41f08a8
mnist_v1_sop10_subsop2 deployed at addr=0x07c2c73c99e32484ac21e48d4de6a9e1ec704642cb43fd05bdbbb64c09b81b14 with tx_hash=0x464516e1fcbd81b4bbdd799987b7a2b79368fa63ab964619566e218ca93ee2c
mnist_v1_sop10_subsop3 deployed at addr=0x07544fd2f582181970c17acde99867f9536bf00c7a152b41d09451c5feabe51a with tx_hash=0x703859603d93a6451d8b8f30d3cb3a3f47d212dfbb8e6da5c4916e960d52454
mnist_v1_sop10_subsop4 deployed at addr=0x07e4af63984741159fcd194e1bad9aac6095903267d33caa8512ebf4cb3e8e21 with tx_hash=0x4f324945e08c05220a84f06c34c696df12a8c693682b28fe99d720bf5540988
mnist_v1_sop10_subsop5 deployed at addr=0x04169d07d4e73e872ce29f8ce611a3975ba98b25cf852d7a7834dd364244c098 with tx_hash=0xd397b9198b78aead50f9c511cefe7b7ddbc7419292a5382eeb144b1caae33b
mnist_v1_sop10_subsop6 deployed at addr=0x01193d15fad3076cb8e550f123e60faea88e86cbe26046d1fd0e037df1802fe0 with tx_hash=0x5b24c8c5273cd7ed3246f3a6580e0bc7cb0fec905a958398ef0aa155e865306
mnist_v1_sop10_subsop7 deployed at addr=0x0746541d4bbb6beb08c30a2485970c409eca9bc1b276a2ce23c23a7de077a023 with tx_hash=0x3cd230a64507b09b746edc81b03454767f61d91e7ce27c33da46aef00955db6
mnist_v1_sop11 deployed at addr=0x04851be42cac806d9519b832d92f42b77ff11cddfc0b4d2525baf83ba2639105 with tx_hash=0x6295ee7d4c6993120d541e736e16ef374bd8da13fe14f7f694c0eeb332105d0
mnist_v1_sop11_subsop0 deployed at addr=0x0734783345162bb50ccb1457963fbc1b55a7bbf70feccfd6a170b082e4c1341c with tx_hash=0x60d7a05ed3d6a709913c8cbb2ebbef4b770b3cb2abee2e0561b8491ecaf2c76
